pathogen,PathogenID,PathogenTaxID,pc1,pc2,Host,HostID,HostTaxID,HType,Hc1,Hc2,papersNO,seqNO
acanthamoeba polyphaga mimivirus,3681718,212035,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,10
achimota virus 1,27250094,1261100,virus,virus,eidolon helvum,3524418,77214,host,bats,mammals,NULL,1
achimota virus 2,27250096,1261101,virus,virus,eidolon helvum,3524418,77214,host,bats,mammals,NULL,1
adelaide river virus,3446981,31612,virus,virus,bos taurus,3434101,9913,host,ruminants,mammals,4,3
adelie penguin polyomavirus,27619731,1590650,virus,virus,pygoscelis adeliae,3432971,9238,host,aves,aves,1,2
adeno-associated virus,3736135,272636,virus,virus,cairina moschata,3432316,8855,host,aves,aves,NULL,1
adeno-associated virus,3736135,272636,virus,virus,capra hircus,3434115,9925,host,ruminants,mammals,10,NULL
adeno-associated virus,3736135,272636,virus,virus,homo sapiens,3433574,9606,host,human,mammals,547,10
adeno-associated virus,3736135,272636,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,48,25
adeno-associated virus clade a,27410406,1717193,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,33
adeno-associated virus clade c,27676950,1717194,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,2
adeno-associated virus clade d,27676952,1717195,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,2
adeno-associated virus predict_aav-10,27676954,1717196,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,3
adeno-associated virus predict_aav-11,27676956,1717197,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,6
adeno-associated virus predict_aav-5,27410408,1717198,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,1
adeno-associated virus predict_aav-6,27410410,1717199,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,2
adeno-associated virus predict_aav-7,27410412,1717200,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,2
adeno-associated virus predict_aav-8,27410414,1717201,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,4
adeno-associated virus predict_aav-9,27676958,1717202,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,1
adeno-associated virus rh.8,27676960,1717203,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,32
adenovirus predict_adv-69,27410344,1717143,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,1
adenovirus predict_adv-72,27676904,1717144,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,3
adler hantavirus,26302996,1578833,virus,virus,microtus majori,3733465,269657,host,rodents,mammals,1,25
african elephant polyomavirus 1,27760195,1399914,virus,virus,loxodonta africana,3433889,9785,host,other mammals,mammals,1,2
african green monkey polyomavirus,3437738,12480,virus,virus,chlorocebus aethiops,3433463,9534,host,primates,mammals,16,NULL
african green monkey simian foamy virus,3792643,338079,virus,virus,chlorocebus aethiops,3433463,9534,host,primates,mammals,2,1
african horse sickness virus,3460146,40050,virus,virus,equus asinus,3433905,9793,host,equids,mammals,17,NULL
african horse sickness virus,3460146,40050,virus,virus,equus asinus x caballus,24320964,319699,host,equids,mammals,8,NULL
african horse sickness virus,3460146,40050,virus,virus,equus caballus,3433909,9796,host,equids,mammals,NULL,10
african horse sickness virus,3460146,40050,virus,virus,equus caballus,3433909,9796,host,equids,mammals,NULL,11
african horse sickness virus,3460146,40050,virus,virus,equus caballus,3433909,9796,host,equids,mammals,NULL,12
african horse sickness virus,3460146,40050,virus,virus,equus caballus,3433909,9796,host,equids,mammals,NULL,13
african horse sickness virus,3460146,40050,virus,virus,equus caballus,3433909,9796,host,equids,mammals,NULL,20
african horse sickness virus,3460146,40050,virus,virus,equus caballus,3433909,9796,host,equids,mammals,NULL,42
african horse sickness virus,3460146,40050,virus,virus,equus caballus,3433909,9796,host,equids,mammals,NULL,62
african horse sickness virus,3460146,40050,virus,virus,equus caballus,3433909,9796,host,equids,mammals,NULL,490
african horse sickness virus,3460146,40050,virus,virus,equus caballus,3433909,9796,host,equids,mammals,96,605
african swine fever virus,3435001,10497,virus,virus,phacochoerus aethiopicus,3539195,85517,host,suina,mammals,3,2
african swine fever virus,3435001,10497,virus,virus,phacochoerus africanus,3462605,41426,host,suina,mammals,28,34
