"label"   "virus"
1   "Pheasant coronavirus"
2   "Falcon coronavirus UAE-HKU27"
3   "European turkey coronavirus 080385d"
4   "Pigeon coronavirus UAE-HKU29"
5   "Houbara coronavirus UAE-HKU28"
6   "Duck coronavirus"
7   "Bulbul coronavirus HKU11-796"
8   "White-eye coronavirus HKU16"
9   "Infectious bronchitis virus"
10   "Sparrow deltacoronavirus"
11   "Night heron coronavirus HKU19"
12   "Avian coronavirus"
13   "Sparrow coronavirus HKU17"
14   "Munia coronavirus HKU13-3514"
15   "Quail deltacoronavirus"
16   "Quail coronavirus UAE-HKU30"
17   "Bulbul coronavirus HKU11-934"
18   "Common moorhen coronavirus HKU21"
19   "Magpie-robin coronavirus HKU18"
20   "Turkey coronavirus"
21   "Thrush coronavirus HKU12-600"
22   "Wigeon coronavirus HKU20"
23   "Canada goose coronavirus"
24   "Porcine deltacoronavirus"
25   "Camel coronavirus HKU23"
26   "Alpaca respiratory coronavirus"
27   "Camel alphacoronavirus"
28   "Camel alphacoronavirus Camel229E"
29   "Bovine coronavirus isolate Alpaca"
30   "Dromedary camel coronavirus HKU23"
31   "Middle East respiratory syndrome-related coronavirus"
32   "Feline coronavirus UU2"
33   "Feline coronavirus UU11"
34   "Feline coronavirus UU10"
35   "Feline coronavirus UU9"
36   "Feline coronavirus UU19"
37   "Feline coronavirus UU31"
38   "Feline coronavirus UU18"
39   "SARS coronavirus civet020"
40   "Feline coronavirus UU54"
41   "SARS coronavirus B039"
42   "SARS coronavirus civet019"
43   "Feline coronavirus UU22"
44   "Feline coronavirus UU7"
45   "Feline coronavirus UU8"
46   "Feline coronavirus UU20"
47   "Feline coronavirus UU3"
48   "SARS coronavirus CS21"
49   "Feline coronavirus UU23"
50   "Feline coronavirus RM"
51   "Feline coronavirus UU15"
52   "Feline alphacoronavirus 1"
53   "Feline coronavirus UU30"
54   "SARS coronavirus ES260"
55   "Feline infectious peritonitis virus"
56   "SARS coronavirus CS24"
57   "Feline coronavirus UU34"
58   "Feline coronavirus UU40"
59   "Feline coronavirus UU4"
60   "SARS coronavirus ES191"
61   "Feline coronavirus UU47"
62   "SARS coronavirus civet014"
63   "Feline coronavirus UU21"
64   "SARS coronavirus civet010"
65   "Feline coronavirus UU17"
66   "Feline coronavirus"
67   "Civet SARS CoV 007/2004"
68   "SARS coronavirus WF188"
69   "Feline coronavirus UU5"
70   "Feline coronavirus UU24"
71   "Feline coronavirus UU16"
72   "Ferret enteric coronavirus"
73   "Canine coronavirus"
74   "Ferret systemic coronavirus"
75   "Mink coronavirus strain WD1133"
76   "Ferret coronavirus"
77   "Alphacoronavirus Mink/China/1/2016"
78   "Mink coronavirus strain WD1127"
79   "Canine respiratory coronavirus"
80   "Human coronavirus HKU1"
81   "Human coronavirus NL63"
82   "Human coronavirus 229E"
83   "Human coronavirus OC43"
84   "Murine coronavirus repJHM/RA59"
85   "Murine coronavirus RA59/R13"
86   "Murine coronavirus SA59/RJHM"
87   "Murine hepatitis virus strain A59"
88   "Murine coronavirus"
89   "Murine coronavirus inf-MHV-A59"
90   "Murine coronavirus RA59/SJHM"
91   "Murine coronavirus MHV-JHM.IA"
92   "Murine coronavirus RJHM/A"
93   "Murine coronavirus repA59/RJHM"
94   "Rat coronavirus Parker"
95   "Rat coronavirus"
96   "Murine coronavirus MHV-3"
97   "Murine hepatitis virus"
98   "Murine coronavirus MHV-1"
99   "Lucheng Rn rat coronavirus"
100   "Longquan Rl rat coronavirus"
101   "Betacoronavirus HKU24"
102   "Longquan Aa mouse coronavirus"
103   "Alphacoronavirus UKRn3"
104   "Rodent coronavirus"
105   "Coronavirus AcCoV-JC34"
106   "Deltacoronavirus PDCoV/USA/Illinois133/2014"
