"","seed","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","micro_F1","macro_F1"
"1","2762",0.732,0.693,0.696,0.766,0.16,0,NA,0.912,0.845,0.76
"2","5176",0.731,0.691,0.695,0.765,0.16,0,NA,0.905,0.844,0.762
"3","6295",0.717,0.675,0.681,0.751,0.16,0,NA,0.901,0.835,0.746
"4","6955",0.712,0.67,0.676,0.747,0.16,0,NA,0.891,0.832,0.751
"5","7978",0.737,0.698,0.701,0.77,0.16,0,NA,0.899,0.849,0.767
"6","8252",0.725,0.684,0.689,0.759,0.16,0,NA,0.899,0.84,0.758
"7","8390",0.731,0.691,0.695,0.765,0.16,0,NA,0.902,0.844,0.757
"8","9085",0.731,0.691,0.695,0.765,0.16,0,NA,0.907,0.844,0.761
"9","9452",0.728,0.688,0.692,0.762,0.16,0,NA,0.893,0.842,0.759
"10","9503",0.729,0.69,0.693,0.763,0.16,0,NA,0.896,0.843,0.757
