Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
290,ANPEP,"alanyl aminopeptidase, membrane",Homo sapiens,human,NM_001150.3,NP_001141.2,10176184,curated,RefseqSelect,default-seq
16790,Anpep,alanyl (membrane) aminopeptidase,Mus musculus,house mouse,NM_008486.3,NP_032512.2,10176184,curated,,default-seq
81641,Anpep,"alanyl aminopeptidase, membrane",Rattus norvegicus,Norway rat,NM_031012.1,NP_112274.1,10176184,curated,,default-seq
397520,ANPEP,"alanyl aminopeptidase, membrane",Sus scrofa,pig,XM_021098304.1,XP_020953963.1,10176184,model,,default-seq
403913,ANPEP,"alanyl aminopeptidase, membrane",Canis lupus familiaris,dog,NM_001146034.1,NP_001139506.1,10176184,curated,,default-seq
404191,ANPEP,"alanyl aminopeptidase, membrane",Bos taurus,cattle,NM_001075144.1,NP_001068612.1,10176184,curated,,default-seq
493785,ANPEP,"alanyl aminopeptidase, membrane",Felis catus,domestic cat,NM_001009252.2,NP_001009252.2,10176184,curated,,default-seq
701117,ANPEP,"alanyl aminopeptidase, membrane",Macaca mulatta,Rhesus monkey,XM_001093727.4,XP_001093727.3,10176184,model,,default-seq
100009167,ANPEP,"alanyl aminopeptidase, membrane",Oryctolagus cuniculus,rabbit,NM_001082326.1,NP_001075795.1,10176184,curated,,default-seq
100015326,ANPEP,"alanyl aminopeptidase, membrane",Monodelphis domestica,gray short-tailed opossum,XM_001369391.3,XP_001369428.1,10176184,model,,default-seq
100084185,ANPEP,"alanyl aminopeptidase, membrane",Ornithorhynchus anatinus,platypus,XM_029051618.1,XP_028907451.1,10176184,model,,default-seq
100406342,ANPEP,"alanyl aminopeptidase, membrane",Callithrix jacchus,white-tufted-ear marmoset,XM_008998408.2,XP_008996656.1,10176184,model,,default-seq
100440397,ANPEP,"alanyl aminopeptidase, membrane",Pongo abelii,Sumatran orangutan,XM_024232529.1,XP_024088297.1,10176184,model,,default-seq
100483644,ANPEP,"alanyl aminopeptidase, membrane",Ailuropoda melanoleuca,giant panda,XM_002929928.3,XP_002929974.1,10176184,model,,default-seq
100589629,ANPEP,"alanyl aminopeptidase, membrane",Nomascus leucogenys,northern white-cheeked gibbon,XM_030815010.1,XP_030670870.1,,model,,default-seq
100662495,ANPEP,"alanyl aminopeptidase, membrane",Loxodonta africana,African savanna elephant,XM_010593828.2,XP_010592130.1,10176184,model,,default-seq
100727522,Anpep,"alanyl aminopeptidase, membrane",Cavia porcellus,domestic guinea pig,XM_003475243.3,XP_003475291.1,10176184,model,,default-seq
100751632,Anpep,"alanyl aminopeptidase, membrane",Cricetulus griseus,Chinese hamster,XM_027408219.1,XP_027264020.1,10176184,model,,default-seq
100924074,ANPEP,"alanyl aminopeptidase, membrane",Sarcophilus harrisii,Tasmanian devil,XM_003755522.4,XP_003755570.1,10176184,model,,default-seq
100964355,ANPEP,"alanyl aminopeptidase, membrane",Otolemur garnettii,small-eared galago,XM_003788624.3,XP_003788672.1,10176184,model,,default-seq
100977702,ANPEP,"alanyl aminopeptidase, membrane",Pan paniscus,pygmy chimpanzee,XM_008973890.1,XP_008972138.1,10176184,model,,default-seq
100998511,ANPEP,"alanyl aminopeptidase, membrane",Papio anubis,olive baboon,XM_031668980.1,XP_031524840.1,,model,,default-seq
