Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
59272,ACE2,angiotensin I converting enzyme 2,Homo sapiens,human,NM_001371415.1,NP_001358344.1,,curated,RefseqSelect,default-seq
70008,Ace2,angiotensin I converting enzyme (peptidyl-dipeptidase A) 2,Mus musculus,house mouse,NM_027286.4,NP_081562.2,11117526,curated,,default-seq
302668,Ace2,angiotensin I converting enzyme 2,Rattus norvegicus,Norway rat,NM_001012006.1,NP_001012006.1,11117526,curated,,default-seq
465511,ACE2,angiotensin I converting enzyme 2,Pan troglodytes,chimpanzee,XM_016942979.1,XP_016798468.1,11117526,model,,default-seq
480847,ACE2,angiotensin I converting enzyme 2,Canis lupus familiaris,dog,NM_001165260.1,NP_001158732.1,11117526,curated,,default-seq
509235,ACE2,angiotensin I converting enzyme 2,Bos taurus,cattle,XM_005228428.4,XP_005228485.1,11117526,model,,default-seq
554349,ACE2,angiotensin I converting enzyme 2,Felis catus,domestic cat,XM_023248796.1,XP_023104564.1,11117526,model,,default-seq
712790,ACE2,angiotensin I converting enzyme 2,Macaca mulatta,Rhesus monkey,NM_001135696.1,NP_001129168.1,11117526,curated,,default-seq
100031783,ACE2,angiotensin I converting enzyme 2,Monodelphis domestica,gray short-tailed opossum,XM_007500873.2,XP_007500935.1,11117526,model,,default-seq
100055952,ACE2,angiotensin I converting enzyme 2,Equus caballus,horse,XM_001490191.5,XP_001490241.1,11117526,model,,default-seq
100085223,ACE2,angiotensin I converting enzyme 2,Ornithorhynchus anatinus,platypus,XM_001515547.4,XP_001515597.2,11117526,model,,default-seq
100144303,ACE2,angiotensin I converting enzyme 2,Sus scrofa,pig,NM_001123070.1,NP_001116542.1,11117526,curated,,default-seq
100171441,ACE2,angiotensin I converting enzyme 2,Pongo abelii,Sumatran orangutan,NM_001131132.2,NP_001124604.1,11117526,curated,,default-seq
100302675,Ace2,angiotensin I converting enzyme 2,Cavia porcellus,domestic guinea pig,XM_023562040.1,XP_023417808.1,11117526,model,,default-seq
100327258,ACE2,angiotensin I converting enzyme 2,Oryctolagus cuniculus,rabbit,XM_002719845.3,XP_002719891.1,11117526,model,,default-seq
100408882,ACE2,angiotensin I converting enzyme 2,Callithrix jacchus,white-tufted-ear marmoset,XM_008988993.1,XP_008987241.1,11117526,model,,default-seq
100465802,ACE2,angiotensin I converting enzyme 2,Ailuropoda melanoleuca,giant panda,XM_002930611.3,XP_002930657.1,11117526,model,,default-seq
100602708,ACE2,angiotensin I converting enzyme 2,Nomascus leucogenys,northern white-cheeked gibbon,XM_003261084.3,XP_003261132.2,,model,,default-seq
100663153,ACE2,angiotensin I converting enzyme 2,Loxodonta africana,African savanna elephant,XM_023555192.1,XP_023410960.1,11117526,model,,default-seq
100772552,Ace2,angiotensin I converting enzyme 2,Cricetulus griseus,Chinese hamster,XM_003503235.4,XP_003503283.1,11117526,model,,default-seq
100917420,ACE2,angiotensin I converting enzyme 2,Sarcophilus harrisii,Tasmanian devil,XM_031958965.1,XP_031814825.1,,model,,default-seq
100951881,ACE2,angiotensin I converting enzyme 2,Otolemur garnettii,small-eared galago,XM_003791864.2,XP_003791912.1,11117526,model,,default-seq
100970340,ACE2,angiotensin I converting enzyme 2,Pan paniscus,pygmy chimpanzee,XM_008974180.1,XP_008972428.1,11117526,model,,default-seq
101008749,ACE2,angiotensin I converting enzyme 2,Papio anubis,olive baboon,XM_021933040.1,XP_021788732.1,11117526,model,,default-seq
101045190,ACE2,angiotensin I converting enzyme 2,Saimiri boliviensis,Bolivian squirrel monkey,XM_010336623.1,XP_010334925.1,11117526,model,,default-seq
