Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
1803,DPP4,dipeptidyl peptidase 4,Homo sapiens,human,NM_001935.4,NP_001926.2,12012129,curated,RefseqSelect,default-seq
13482,Dpp4,dipeptidylpeptidase 4,Mus musculus,house mouse,NM_010074.3,NP_034204.1,12012129,curated,,default-seq
25253,Dpp4,dipeptidylpeptidase 4,Rattus norvegicus,Norway rat,NM_012789.1,NP_036921.1,12012129,curated,,default-seq
281122,DPP4,dipeptidyl peptidase 4,Bos taurus,cattle,NM_174039.3,NP_776464.1,12012129,curated,,default-seq
397492,DPP4,dipeptidyl peptidase 4,Sus scrofa,pig,NM_214257.1,NP_999422.1,12012129,curated,,default-seq
459689,DPP4,dipeptidyl peptidase 4,Pan troglodytes,chimpanzee,XM_515858.5,XP_515858.2,12012129,model,,default-seq
478767,DPP4,dipeptidyl peptidase 4,Canis lupus familiaris,dog,XM_014110860.2,XP_013966335.1,12012129,model,,default-seq
493787,DPP4,dipeptidyl peptidase 4,Felis catus,domestic cat,NM_001009838.1,NP_001009838.1,12012129,curated,,default-seq
654491,DPP4,dipeptidyl peptidase 4,Macaca mulatta,Rhesus monkey,NM_001039190.2,NP_001034279.2,12012129,curated,,default-seq
100022348,DPP4,dipeptidyl peptidase 4,Monodelphis domestica,gray short-tailed opossum,XM_007494267.2,XP_007494329.1,12012129,model,,default-seq
100061124,DPP4,dipeptidyl peptidase 4,Equus caballus,horse,XM_023623018.1,XP_023478786.1,12012129,model,,default-seq
100082186,DPP4,dipeptidyl peptidase 4,Ornithorhynchus anatinus,platypus,XM_029072243.1,XP_028928076.1,12012129,model,,default-seq
100170324,DPP4,dipeptidyl peptidase 4,Ovis aries,sheep,XM_004004660.4,XP_004004709.1,12012129,model,,default-seq
100173322,DPP4,dipeptidyl peptidase 4,Pongo abelii,Sumatran orangutan,XM_009237739.2,XP_009236014.1,12012129,model,,default-seq
100341424,DPP4,dipeptidyl peptidase 4,Oryctolagus cuniculus,rabbit,XM_008258668.2,XP_008256890.1,13647865,model,,default-seq
100393303,DPP4,dipeptidyl peptidase 4,Callithrix jacchus,white-tufted-ear marmoset,XM_002749392.3,XP_002749438.1,12012129,model,,default-seq
100466928,DPP4,dipeptidyl peptidase 4,Ailuropoda melanoleuca,giant panda,XM_011231867.2,XP_011230169.1,12012129,model,,default-seq
100605220,DPP4,dipeptidyl peptidase 4,Nomascus leucogenys,northern white-cheeked gibbon,XM_003266171.3,XP_003266219.1,12012129,model,,default-seq
100662922,DPP4,dipeptidyl peptidase 4,Loxodonta africana,African savanna elephant,XM_023542885.1,XP_023398653.1,13647858,model,,default-seq
100721104,Dpp4,dipeptidyl peptidase 4,Cavia porcellus,domestic guinea pig,XM_013142394.2,XP_012997848.1,12012129,model,,default-seq
100768361,Dpp4,dipeptidyl peptidase 4,Cricetulus griseus,Chinese hamster,XM_027420319.1,XP_027276120.1,12012129,model,,default-seq
100914547,DPP4,dipeptidyl peptidase 4,Sarcophilus harrisii,Tasmanian devil,XM_023499244.2,XP_023355012.1,12012129,model,,default-seq
100942000,DPP4,dipeptidyl peptidase 4,Otolemur garnettii,small-eared galago,XM_023516350.1,XP_023372118.1,12012129,model,,default-seq
100983437,DPP4,dipeptidyl peptidase 4,Pan paniscus,pygmy chimpanzee,XM_003820939.2,XP_003820987.1,12012129,model,,default-seq
101023210,DPP4,dipeptidyl peptidase 4,Papio anubis,olive baboon,XM_021923667.2,XP_021779359.2,,model,,default-seq
101041907,DPP4,dipeptidyl peptidase 4,Saimiri boliviensis,Bolivian squirrel monkey,XM_003921932.2,XP_003921981.1,12012129,model,,default-seq
101140329,DPP4,dipeptidyl peptidase 4,Gorilla gorilla,western gorilla,XM_004032706.3,XP_004032754.3,,model,,default-seq
101272821,DPP4,dipeptidyl peptidase 4,Orcinus orca,killer whale,XM_004283621.2,XP_004283669.1,12012129,model,,default-seq
101320405,DPP4,dipeptidyl peptidase 4,Tursiops truncatus,common bottlenose dolphin,XM_019923172.1,XP_019778731.1,12012129,model,,default-seq
101340446,LOC101340446,dipeptidyl peptidase 4,Trichechus manatus latirostris,Florida manatee,XM_004375425.2,XP_004375482.1,12012129,model,,default-seq
101383326,DPP4,dipeptidyl peptidase 4,Odobenus rosmarus divergens,Pacific walrus,XM_004410199.2,XP_004410256.1,12012129,model,,default-seq
101392268,LOC101392268,dipeptidyl peptidase 4,Ceratotherium simum simum,southern white rhinoceros,XM_014786020.1,XP_014641506.1,12012129,model,,default-seq
101418034,DPP4,dipeptidyl peptidase 4,Dasypus novemcinctus,nine-banded armadillo,XM_004464407.3,XP_004464464.1,12012129,model,,default-seq
101519820,DPP4,dipeptidyl peptidase 4,Ochotona princeps,American pika,XM_004577330.2,XP_004577387.1,12012129,model,,default-seq
101556883,DPP4,dipeptidyl peptidase 4,Sorex araneus,European shrew,XM_004608172.1,XP_004608229.1,12012129,model,,default-seq
101564569,Dpp4,dipeptidyl peptidase 4,Octodon degus,degu,XM_023713776.1,XP_023569544.1,12012129,model,,default-seq
101615116,Dpp4,dipeptidyl peptidase 4,Jaculus jaculus,lesser Egyptian jerboa,XM_004651712.1,XP_004651769.1,12012129,model,,default-seq
101622630,DPP4,dipeptidyl peptidase 4,Condylura cristata,star-nosed mole,XM_004674874.2,XP_004674931.1,12012129,model,,default-seq
101650027,DPP4,dipeptidyl peptidase 4,Echinops telfairi,small Madagascar hedgehog,XM_013004956.1,XP_012860410.1,12012129,model,,default-seq
101672664,DPP4,dipeptidyl peptidase 4,Mustela putorius furo,domestic ferret,XM_013051995.1,XP_012907449.1,12012129,model,,default-seq
101722925,Dpp4,dipeptidyl peptidase 4,Heterocephalus glaber,naked mole-rat,XM_013076119.2,XP_012931573.1,12012129,model,,default-seq
