"","accessionversion","title","taxid","genus","childtaxa_name","createdate","complete","length","subname"
"1","JN183882.1","lcl|JN183882.1_cds_AEK25511.1_3 [protein=spike protein] [protein_id=AEK25511.1] [location=20361..24770] [gbkey=CDS]","1052157","Alphacoronavirus","Feline coronavirus UU47","2011/07/14","whole_genome",4410,"UU47|Felis catus|Netherlands: Utrecht|14-Jul-2010"
"2","JN183883.1","lcl|JN183883.1_cds_AEK25521.1_3 [protein=spike protein] [protein_id=AEK25521.1] [location=20346..24746] [gbkey=CDS]","1052158","Alphacoronavirus","Feline coronavirus UU54","2011/07/14","whole_genome",4401,"UU54|Felis catus|Netherlands: Utrecht|12-Mar-2010"
"3","MN894507.1","lcl|MN894507.1_cds_QIX02942.1_1 [gene=S] [protein=spike protein] [protein_id=QIX02942.1] [location=1..3498] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2020/04/14","complete_spike",3498,"CK/CH/HD/190716|Gallus gallus|QX-like|China|16-Jul-2019"
"4","FJ829876.1","lcl|FJ829876.1_cds_ACX71845.1_1 [gene=S] [protein=spike protein] [protein_id=ACX71845.1] [location=1..3462] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2011/10/20","complete_spike",3462,"nephropathogenic|JH06111|chicken|China|2006"
"5","JQ088078.1","lcl|JQ088078.1_cds_AFJ11176.1_3 [protein=S protein] [protein_id=AFJ11176.1] [location=20342..23839] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2012/05/09","whole_genome",3498,"CK/SWE/0658946/10|chicken|European QX-like|Sweden|allantoic fluid|2010"
"6","GU393338.1","lcl|GU393338.1_cds_ADV71822.1_3 [protein=spike protein] [protein_id=ADV71822.1] [location=20371..23877] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2011/08/26","whole_genome",3507,"JMK|Gallus gallus|Avian Infectious Bronchitis Virus|USA|1964"
"7","MH181793.1","lcl|MH181793.1_cds_QAT77248.1_3 [protein=S] [protein_id=QAT77248.1] [location=20367..23837] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2019/01/28","whole_genome",3471,"HH06|chicken|China|2006"
"8","GU393335.1","lcl|GU393335.1_cds_ADV71785.1_3 [protein=spike protein] [protein_id=ADV71785.1] [location=20314..23802] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2011/08/26","whole_genome",3489,"H120|Gallus gallus|Avian Infectious Bronchitis Virus|Netherlands|1960"
"9","KX247129.1","lcl|KX247129.1_cds_APW85785.1_2 [gene=S] [protein=S protein] [protein_id=APW85785.1] [location=20371..23868] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2017/01/28","whole_genome",3498,"ck/CH/LHB/130337|Gallus gallus|LX4|China|Mar-2013"
"10","KY776700.1","lcl|KY776700.1_cds_AVI69444.1_2 [gene=S] [protein=spike protein] [protein_id=AVI69444.1] [location=20302..23811] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2018/03/06","whole_genome",3510,"gammaCoV/ck/China/I0712/11|Gallus gallus|China"
"11","KJ425491.1","lcl|KJ425491.1_cds_AHX25947.1_2 [gene=S] [protein=spike protein] [exception=ribosomal slippage] [protein_id=AHX25947.1] [location=20314..23802] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2014/04/23","whole_genome",3489,"ck/CH/LHB/111268|Gallus gallus|China|18-Dec-2011"
"12","KX252777.1","lcl|KX252777.1_cds_APY23524.1_2 [gene=S] [protein=S protein] [protein_id=APY23524.1] [location=20371..23868] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2017/02/01","whole_genome",3498,"ck/CH/LSD/07I|Gallus gallus|LX4|China|2007"
"13","FJ829874.1","lcl|FJ829874.1_cds_ACX71843.1_1 [gene=S] [protein=spike protein] [protein_id=ACX71843.1] [location=1..3462] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2011/10/20","complete_spike",3462,"AH07101|chicken|China: Anhui|2007"
