"","genus","virus","accession","bird","camelid","carnivore","human","rodent","swine","yangochiroptera","yinpterochiroptera"
"1","Betacoronavirus","Betacoronavirus England 1","NC_038294.1",0.01422,0.89603,0.00441,0.0018,0.00187,0.01055,0.06292,0.00819
"2","Betacoronavirus","Betacoronavirus England 1","KC164505.2",0.01422,0.89603,0.00441,0.0018,0.00187,0.01055,0.06292,0.00819
"3","Betacoronavirus","Human betacoronavirus 2c EMC/2012","JX869059.2",0.00939,0.92044,0.00669,0.00029,0.00241,0.00565,0.03779,0.01734
"4","Betacoronavirus","Human betacoronavirus 2c England-Qatar/2012","KC667074.1",0.00583,0.95786,0.00129,0.00045,0.00067,0.00239,0.02727,0.00423
"5","Betacoronavirus","Human betacoronavirus 2c Jordan-N3/2012","KC776174.1",0.01224,0.83322,0.01105,0.00105,0.005,0.01398,0.09345,0.03
"6","Betacoronavirus","Human enteric coronavirus 4408","FJ415324.1",0.02545,0.49167,0.12013,0.23735,0.00864,0.04934,0.03366,0.03376
"7","Betacoronavirus","Human enteric coronavirus strain 4408","FJ938067.1",0.03194,0.43139,0.28321,0.12609,0.00735,0.058,0.02845,0.03357
"8","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","KF600647.1",0.00249,0.96709,0.00224,0.00033,0.00038,0.00453,0.01683,0.00612
"9","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MK462248.1",0.00392,0.9311,0.001,0.00073,0.00165,0.00473,0.0517,0.00517
"10","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MG011346.1",0.00185,0.98202,0.00105,0.00054,0.00044,0.00169,0.00978,0.00263
"11","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","KY688122.1",0.00526,0.92734,0.00191,0.0014,0.00157,0.00448,0.05139,0.00665
"12","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MK462246.1",0.00526,0.92734,0.00191,0.0014,0.00157,0.00448,0.05139,0.00665
"13","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MN120514.1",0.00756,0.90152,0.00222,0.00166,0.00161,0.0069,0.07101,0.00753
"14","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MG757600.1",0.01397,0.85666,0.00742,0.00247,0.00244,0.01395,0.0885,0.01459
"15","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","KT326819.1",0.0015,0.98164,0.00061,0.00026,0.00026,0.00262,0.01112,0.00199
"16","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","KJ361500.1",0.00073,0.99111,0.00027,5e-05,0.00019,0.00112,0.00541,0.00111
"17","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","KM210277.1",0.0029,0.97084,0.00219,0.00015,0.0013,0.0024,0.01355,0.00666
"18","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MG011352.2",0.0046,0.97124,0.0016,0.00026,0.00033,0.00296,0.01496,0.00405
"19","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MH432120.1",0.02415,0.87763,0.00805,0.00204,0.003,0.01539,0.05497,0.01477
