"","genus","virus","accession","metadata_host","host_category","prediction","bird","camelid","carnivore","human","rodent","swine","yangochiroptera","yinpterochiroptera"
"1","Gammacoronavirus","Avian coronavirus","MN262644.1","chicken","bird","bird",0.62363,0.03837,0.08758,0.05138,0.02225,0.03655,0.06173,0.0785
"2","Gammacoronavirus","Avian coronavirus","MK204411.1","Tadorna tadornoides","bird","yangochiroptera",0.24958,0.05687,0.03465,0.07673,0.04007,0.02948,0.36668,0.14593
"3","Gammacoronavirus","Avian coronavirus","MK204393.1","Anas gracilis","bird","bird",0.24322,0.05883,0.07998,0.08072,0.12248,0.07608,0.1713,0.16738
"4","Gammacoronavirus","Avian coronavirus","MG913343.1","Gallus gallus","bird","bird",0.80282,0.01252,0.01632,0.03075,0.01552,0.027,0.06513,0.02995
"5","Gammacoronavirus","Avian coronavirus","MG913342.1","Gallus gallus","bird","bird",0.67443,0.03603,0.03973,0.04617,0.03572,0.0372,0.07917,0.05155
"6","Gammacoronavirus","Avian coronavirus","KX258195.1","Gallus gallus","bird","bird",0.67883,0.04338,0.04122,0.04668,0.02933,0.03072,0.07177,0.05807
"7","Deltacoronavirus","Bulbul coronavirus HKU11-796","FJ376620.1","Chinese bulbul","bird","bird",0.63683,0.0112,0.09618,0.00783,0.0198,0.03752,0.05767,0.13297
"8","Deltacoronavirus","Bulbul coronavirus HKU11-934","NC_011547.1","red-whiskered bulbul","bird","bird",0.4768,0.01075,0.17905,0.0077,0.01722,0.06822,0.06635,0.17392
"9","Deltacoronavirus","Bulbul coronavirus HKU11-934","FJ376619.2","red-whiskered bulbul","bird","bird",0.4768,0.01075,0.17905,0.0077,0.01722,0.06822,0.06635,0.17392
"10","Gammacoronavirus","Canada goose coronavirus","NC_046965.1","Branta canadensis","bird","bird",0.29602,0.04895,0.02539,0.03175,0.10015,0.05172,0.27145,0.17457
"11","Gammacoronavirus","Canada goose coronavirus","MK359255.1","Branta canadensis","bird","bird",0.29602,0.04895,0.02539,0.03175,0.10015,0.05172,0.27145,0.17457
"12","Deltacoronavirus","Common moorhen coronavirus HKU21","NC_016996.1","common moorhen","bird","bird",0.45155,0.07068,0.07362,0.16077,0.01472,0.04075,0.1178,0.07012
"13","Deltacoronavirus","Common moorhen coronavirus HKU21","JQ065049.1","common moorhen","bird","bird",0.45155,0.07068,0.07362,0.16077,0.01472,0.04075,0.1178,0.07012
"14","Gammacoronavirus","Duck coronavirus","KM454473.1","duck","bird","bird",0.28933,0.07988,0.02791,0.03245,0.05705,0.14296,0.26108,0.10934
"15","Gammacoronavirus","Duck coronavirus","JF699751.1","duck","bird","bird",0.84546,0.01262,0.0438,0.02079,0.00881,0.01938,0.02611,0.02302
"16","Gammacoronavirus","Duck coronavirus","JF705860.1","duck","bird","bird",0.84546,0.01262,0.0438,0.02079,0.00881,0.01938,0.02611,0.02302
"17","Gammacoronavirus","European turkey coronavirus 080385d","KR822424.1","turkey","bird","bird",0.74293,0.02047,0.05132,0.01592,0.02112,0.0185,0.0652,0.06455
"18","unclassified","Falcon coronavirus UAE-HKU27","LC364342.1","Falco","bird","bird",0.758,0.00643,0.05592,0.00265,0.01383,0.02657,0.05372,0.08288
